time;V(/vin);V(/vout);
0.100156;4.98787;0.977012;
0.100157;4.99415;0.985032;
0.100157;5.00041;0.993049;
0.100157;5.00665;1.00106;
0.100157;5.01287;1.00907;
0.100158;5.01908;1.01708;
0.100158;5.02527;1.02508;
0.100158;5.03144;1.03308;
0.100159;5.03759;1.04107;
0.100159;5.04372;1.04906;
0.100159;5.04984;1.05705;
0.10016;5.05594;1.06503;
0.10016;5.06202;1.07301;
0.10016;5.06808;1.08099;
0.10016;5.07413;1.08896;
0.100161;5.08015;1.09693;
0.100161;5.08616;1.1049;
0.100161;5.09215;1.11286;
0.100162;5.09813;1.12081;
0.100162;5.10408;1.12877;
0.100162;5.11002;1.13671;
0.100163;5.11594;1.14466;
0.100163;5.12184;1.1526;
0.100163;5.12772;1.16054;
0.100163;5.13358;1.16847;
0.100164;5.13943;1.1764;
0.100164;5.14525;1.18432;
0.100164;5.15106;1.19224;
0.100165;5.15685;1.20016;
0.100165;5.16262;1.20807;
0.100165;5.16838;1.21597;
0.100166;5.17411;1.22388;
0.100166;5.17983;1.23177;
0.100166;5.18553;1.23967;
0.100166;5.19121;1.24756;
0.100167;5.19687;1.25544;
0.100167;5.20251;1.26332;
0.100167;5.20814;1.2712;
0.100168;5.21375;1.27907;
0.100168;5.21933;1.28694;
0.100168;5.2249;1.2948;
0.100169;5.23045;1.30266;
0.100169;5.23598;1.31051;
0.100169;5.2415;1.31836;
0.100169;5.24699;1.3262;
0.10017;5.25247;1.33404;
0.10017;5.25793;1.34188;
0.10017;5.26337;1.34971;
0.100171;5.26879;1.35753;
0.100171;5.27419;1.36535;
0.100171;5.27957;1.37317;
0.100172;5.28493;1.38098;
0.100172;5.29028;1.38878;
0.100172;5.29561;1.39658;
0.100172;5.30091;1.40438;
0.100173;5.3062;1.41217;
0.100173;5.31147;1.41996;
0.100173;5.31672;1.42774;
0.100174;5.32195;1.43551;
0.100174;5.32717;1.44328;
0.100174;5.33236;1.45105;
0.100175;5.33754;1.45881;
0.100175;5.34269;1.46656;
0.100175;5.34783;1.47431;
0.100175;5.35295;1.48206;
0.100176;5.35805;1.4898;
0.100176;5.36313;1.49753;
0.100176;5.36819;1.50526;
0.100177;5.37323;1.51298;
0.100177;5.37826;1.5207;
0.100177;5.38326;1.52841;
0.100178;5.38824;1.53612;
0.100178;5.39321;1.54382;
0.100178;5.39816;1.55152;
0.100178;5.40308;1.55921;
0.100179;5.40799;1.56689;
0.100179;5.41288;1.57457;
0.100179;5.41775;1.58225;
0.10018;5.4226;1.58991;
0.10018;5.42743;1.59758;
0.10018;5.43224;1.60523;
0.100181;5.43704;1.61288;
0.100181;5.44181;1.62053;
0.100181;5.44656;1.62817;
0.100181;5.4513;1.6358;
0.100182;5.45601;1.64343;
0.100182;5.46071;1.65105;
0.100182;5.46539;1.65867;
0.100183;5.47004;1.66628;
0.100183;5.47468;1.67388;
0.100183;5.4793;1.68148;
0.100184;5.4839;1.68908;
0.100184;5.48848;1.69666;
0.100184;5.49304;1.70424;
0.100184;5.49758;1.71182;
0.100185;5.5021;1.71939;
0.100185;5.5066;1.72695;
0.100185;5.51108;1.7345;
0.100186;5.51554;1.74205;
0.100186;5.51999;1.7496;
0.100186;5.52441;1.75714;
0.100187;5.52881;1.76467;
0.100187;5.53319;1.77219;
0.100187;5.53756;1.77971;
0.100187;5.5419;1.78722;
0.100188;5.54623;1.79473;
0.100188;5.55053;1.80223;
0.100188;5.55482;1.80972;
0.100189;5.55908;1.81721;
0.100189;5.56333;1.82469;
0.100189;5.56755;1.83217;
0.10019;5.57176;1.83963;
0.10019;5.57595;1.84709;
0.10019;5.58011;1.85455;
0.10019;5.58426;1.862;
0.100191;5.58839;1.86944;
0.100191;5.59249;1.87687;
0.100191;5.59658;1.8843;
0.100192;5.60065;1.89172;
0.100192;5.60469;1.89914;
0.100192;5.60872;1.90654;
0.100193;5.61273;1.91394;
0.100193;5.61672;1.92134;
0.100193;5.62068;1.92873;
0.100193;5.62463;1.93611;
0.100194;5.62856;1.94348;
0.100194;5.63247;1.95085;
0.100194;5.63635;1.95821;
0.100195;5.64022;1.96556;
0.100195;5.64407;1.9729;
0.100195;5.6479;1.98024;
0.100196;5.6517;1.98758;
0.100196;5.65549;1.9949;
0.100196;5.65926;2.00222;
0.100196;5.663;2.00953;
0.100197;5.66673;2.01683;
0.100197;5.67044;2.02413;
0.100197;5.67412;2.03142;
0.100198;5.67779;2.0387;
0.100198;5.68144;2.04597;
0.100198;5.68506;2.05324;
0.100199;5.68867;2.0605;
0.100199;5.69225;2.06775;
0.100199;5.69582;2.075;
0.100199;5.69937;2.08224;
0.1002;5.70289;2.08947;
0.1002;5.70639;2.09669;
0.1002;5.70988;2.10391;
0.100201;5.71334;2.11111;
0.100201;5.71679;2.11831;
0.100201;5.72021;2.12551;
0.100202;5.72361;2.13269;
0.100202;5.727;2.13987;
0.100202;5.73036;2.14704;
0.100202;5.7337;2.1542;
0.100203;5.73702;2.16136;
0.100203;5.74032;2.16851;
0.100203;5.74361;2.17565;
0.100204;5.74687;2.18278;
0.100204;5.75011;2.1899;
0.100204;5.75333;2.19702;
0.100205;5.75653;2.20413;
0.100205;5.7597;2.21123;
0.100205;5.76286;2.21832;
0.100205;5.766;2.22541;
0.100206;5.76912;2.23248;
0.100206;5.77222;2.23955;
0.100206;5.77529;2.24662;
0.100207;5.77835;2.25367;
0.100207;5.78138;2.26071;
0.100207;5.7844;2.26775;
0.100208;5.78739;2.27478;
0.100208;5.79037;2.2818;
0.100208;5.79332;2.28881;
0.100208;5.79625;2.29582;
0.100209;5.79916;2.30282;
0.100209;5.80205;2.30981;
0.100209;5.80493;2.31679;
0.10021;5.80778;2.32376;
0.10021;5.81061;2.33072;
0.10021;5.81341;2.33768;
0.100211;5.8162;2.34462;
0.100211;5.81897;2.35156;
0.100211;5.82172;2.35849;
0.100211;5.82444;2.36542;
0.100212;5.82715;2.37233;
0.100212;5.82983;2.37924;
0.100212;5.8325;2.38613;
0.100213;5.83514;2.39302;
0.100213;5.83776;2.3999;
0.100213;5.84036;2.40677;
0.100214;5.84295;2.41364;
0.100214;5.84551;2.42049;
0.100214;5.84805;2.42734;
0.100214;5.85056;2.43417;
0.100215;5.85306;2.441;
0.100215;5.85554;2.44782;
0.100215;5.858;2.45463;
0.100216;5.86043;2.46143;
0.100216;5.86285;2.46823;
0.100216;5.86524;2.47501;
0.100217;5.86761;2.48179;
0.100217;5.86997;2.48856;
0.100217;5.8723;2.49531;
0.100217;5.87461;2.50206;
0.100218;5.8769;2.5088;
0.100218;5.87917;2.51554;
0.100218;5.88141;2.52226;
0.100219;5.88364;2.52897;
0.100219;5.88585;2.53568;
0.100219;5.88803;2.54237;
0.10022;5.8902;2.54906;
0.10022;5.89234;2.55574;
0.10022;5.89446;2.56241;
0.10022;5.89656;2.56907;
0.100221;5.89864;2.57572;
0.100221;5.9007;2.58236;
0.100221;5.90274;2.58899;
0.100222;5.90476;2.59561;
0.100222;5.90676;2.60223;
0.100222;5.90873;2.60883;
0.100223;5.91069;2.61543;
0.100223;5.91262;2.62201;
0.100223;5.91453;2.62859;
0.100223;5.91642;2.63516;
0.100224;5.9183;2.64171;
0.100224;5.92014;2.64826;
0.100224;5.92197;2.6548;
0.100225;5.92378;2.66133;
0.100225;5.92557;2.66785;
0.100225;5.92733;2.67436;
0.100226;5.92908;2.68086;
0.100226;5.9308;2.68735;
