time;V(/vout);
0.0633259;0.756309;
0.0633979;0.729563;
0.0634699;0.703763;
0.0635419;0.678876;
0.0636139;0.654868;
0.0636859;0.63171;
0.0637579;0.609371;
0.0638299;0.587821;
0.0639019;0.567034;
0.0639739;0.546981;
0.0640459;0.527638;
0.0641179;0.508979;
0.0641899;0.49098;
0.0642619;0.473617;
0.0643339;0.456868;
0.0644059;0.440712;
0.0644779;0.425127;
0.0645499;0.410093;
0.0646219;0.395591;
0.0646939;0.381601;
0.0647659;0.368106;
0.0648379;0.355089;
0.0649099;0.342532;
0.0649819;0.330419;
0.0650539;0.318734;
0.0651259;0.307462;
0.0651979;0.296589;
0.0652699;0.286101;
0.0653419;0.275984;
0.0654139;0.266224;
0.0654859;0.256809;
0.0655579;0.247728;
0.0656299;0.238967;
0.0657019;0.230516;
0.0657739;0.222364;
0.0658459;0.214501;
0.0659179;0.206915;
0.0659899;0.199598;
0.0660619;0.19254;
0.0661339;0.185731;
0.0662059;0.179163;
0.0662779;0.172827;
0.0663499;0.166715;
0.0664219;0.16082;
0.0664939;0.155132;
0.0665659;0.149646;
0.0666379;0.144354;
0.0667099;0.139249;
0.0667819;0.134325;
0.0668539;0.129575;
0.0669259;0.124993;
0.0669979;0.120573;
0.0670699;0.116309;
0.0671419;0.112196;
0.0672139;0.108228;
0.0672859;0.104401;
0.0673579;0.100709;
0.0674299;0.0971473;
0.0675019;0.0937118;
0.0675739;0.0903979;
0.0676459;0.0872011;
0.0677179;0.0841173;
0.0677899;0.0811427;
0.0678619;0.0782732;
0.0679339;0.0755052;
0.0680059;0.072835;
0.0680779;0.0702593;
0.0681499;0.0677747;
0.0682219;0.065378;
0.0682939;0.063066;
0.0683659;0.0608358;
0.0684379;0.0586844;
0.0685099;0.0566091;
0.0685819;0.0546072;
