v-sweep;V(/vin);V(/vout);
-0.63;-0.63;-5.31267e-05;
-0.62;-0.62;-5.31247e-05;
-0.61;-0.61;-5.31226e-05;
-0.6;-0.6;-5.31204e-05;
-0.59;-0.59;-5.3118e-05;
-0.58;-0.58;-5.31155e-05;
-0.57;-0.57;-5.31127e-05;
-0.56;-0.56;-5.31098e-05;
-0.55;-0.55;-5.31067e-05;
-0.54;-0.54;-5.31033e-05;
-0.53;-0.53;-5.30997e-05;
-0.52;-0.52;-5.30957e-05;
-0.51;-0.51;-5.30915e-05;
-0.5;-0.5;-5.30869e-05;
-0.49;-0.49;-5.3082e-05;
-0.48;-0.48;-5.30766e-05;
-0.47;-0.47;-5.30707e-05;
-0.46;-0.46;-5.30644e-05;
-0.45;-0.45;-5.30574e-05;
-0.44;-0.44;-5.30499e-05;
-0.43;-0.43;-5.30416e-05;
-0.42;-0.42;-5.30324e-05;
-0.41;-0.41;-5.30224e-05;
-0.4;-0.4;-5.30114e-05;
-0.39;-0.39;-5.29991e-05;
-0.38;-0.38;-5.29856e-05;
-0.37;-0.37;-5.29706e-05;
-0.36;-0.36;-5.29538e-05;
-0.35;-0.35;-5.29351e-05;
-0.34;-0.34;-5.29141e-05;
-0.33;-0.33;-5.28905e-05;
-0.32;-0.32;-5.28639e-05;
-0.31;-0.31;-5.28337e-05;
-0.3;-0.3;-5.27993e-05;
-0.29;-0.29;-5.276e-05;
-0.28;-0.28;-5.2715e-05;
-0.27;-0.27;-5.2663e-05;
-0.26;-0.26;-5.26026e-05;
-0.25;-0.25;-5.25323e-05;
-0.24;-0.24;-5.24497e-05;
-0.23;-0.23;-5.23522e-05;
-0.22;-0.22;-5.2236e-05;
-0.21;-0.21;-5.20968e-05;
-0.2;-0.2;-5.19282e-05;
-0.19;-0.19;-5.17223e-05;
-0.18;-0.18;-5.1468e-05;
-0.17;-0.17;-5.11503e-05;
-0.16;-0.16;-5.07481e-05;
-0.15;-0.15;-5.02366e-05;
-0.14;-0.14;-4.9612e-05;
-0.13;-0.13;-4.88542e-05;
-0.12;-0.12;-4.79348e-05;
-0.11;-0.11;-4.68193e-05;
-0.1;-0.1;-4.54661e-05;
-0.09;-0.09;-4.38243e-05;
-0.08;-0.08;-4.18326e-05;
-0.07;-0.07;-3.94164e-05;
-0.06;-0.06;-3.64851e-05;
-0.05;-0.05;-3.29291e-05;
-0.04;-0.04;-2.86155e-05;
-0.03;-0.03;-2.33829e-05;
-0.02;-0.02;-1.70359e-05;
-0.01;-0.01;-9.3373e-06;
-6.23078e-14;-6.23078e-14;-2.6716e-14;
0.01;0.01;1.13241e-05;
0.02;0.02;2.50564e-05;
0.03;0.03;4.17076e-05;
0.04;0.04;6.18955e-05;
0.05;0.05;8.63676e-05;
0.06;0.06;0.000116028;
0.07;0.07;0.000151967;
0.08;0.08;0.000195505;
0.09;0.09;0.000248229;
0.1;0.1;0.000312054;
0.11;0.11;0.000389281;
0.12;0.12;0.000482669;
0.13;0.13;0.000595525;
0.14;0.14;0.000731795;
0.15;0.15;0.000896175;
0.16;0.16;0.00109423;
0.17;0.17;0.00133253;
0.18;0.18;0.00161876;
0.19;0.19;0.00196191;
0.2;0.2;0.00237233;
0.21;0.21;0.00286187;
0.22;0.22;0.00344396;
0.23;0.23;0.00413357;
0.24;0.24;0.00494717;
0.25;0.25;0.00590252;
0.26;0.26;0.00701842;
0.27;0.27;0.00831425;
0.28;0.28;0.00980944;
0.29;0.29;0.0115229;
0.3;0.3;0.0134722;
0.31;0.31;0.015673;
0.32;0.32;0.0181387;
0.33;0.33;0.0208793;
0.34;0.34;0.0239019;
0.35;0.35;0.0272101;
0.36;0.36;0.0308041;
0.37;0.37;0.0346812;
0.38;0.38;0.0388362;
0.39;0.39;0.0432613;
0.4;0.4;0.0479473;
0.41;0.41;0.0528835;
0.42;0.42;0.0580585;
0.43;0.43;0.0634603;
0.44;0.44;0.0690768;
0.45;0.45;0.0748958;
0.46;0.46;0.0809056;
0.47;0.47;0.0870947;
0.48;0.48;0.0934521;
0.49;0.49;0.0999674;
0.5;0.5;0.106631;
0.51;0.51;0.113433;
0.52;0.52;0.120366;
0.53;0.53;0.12742;
0.54;0.54;0.13459;
0.55;0.55;0.141866;
0.56;0.56;0.149244;
0.57;0.57;0.156718;
0.58;0.58;0.16428;
0.59;0.59;0.171927;
0.6;0.6;0.179653;
0.61;0.61;0.187455;
0.62;0.62;0.195327;
0.63;0.63;0.203266;
0.64;0.64;0.211269;
0.65;0.65;0.219332;
0.66;0.66;0.227451;
0.67;0.67;0.235625;
0.68;0.68;0.24385;
0.69;0.69;0.252124;
0.7;0.7;0.260445;
0.71;0.71;0.268809;
0.72;0.72;0.277216;
0.73;0.73;0.285663;
0.74;0.74;0.294149;
0.75;0.75;0.302672;
0.76;0.76;0.311229;
0.77;0.77;0.31982;
0.78;0.78;0.328444;
0.79;0.79;0.337098;
0.8;0.8;0.345783;
0.81;0.81;0.354495;
0.82;0.82;0.363235;
0.83;0.83;0.372001;
0.84;0.84;0.380793;
0.85;0.85;0.389609;
0.86;0.86;0.398448;
0.87;0.87;0.40731;
0.88;0.88;0.416194;
0.89;0.89;0.425098;
0.9;0.9;0.434023;
0.91;0.91;0.442968;
0.92;0.92;0.451931;
0.93;0.93;0.460913;
0.94;0.94;0.469912;
0.95;0.95;0.478929;
0.96;0.96;0.487962;
0.97;0.97;0.497011;
0.98;0.98;0.506076;
0.99;0.99;0.515156;
1;1;0.52425;
1.01;1.01;0.533359;
1.02;1.02;0.542482;
1.03;1.03;0.551617;
1.04;1.04;0.560766;
1.05;1.05;0.569928;
1.06;1.06;0.579101;
1.07;1.07;0.588287;
1.08;1.08;0.597484;
1.09;1.09;0.606693;
1.1;1.1;0.615912;
1.11;1.11;0.625142;
1.12;1.12;0.634383;
1.13;1.13;0.643634;
1.14;1.14;0.652895;
1.15;1.15;0.662165;
1.16;1.16;0.671445;
1.17;1.17;0.680734;
1.18;1.18;0.690031;
1.19;1.19;0.699338;
1.2;1.2;0.708653;
1.21;1.21;0.717977;
1.22;1.22;0.727309;
1.23;1.23;0.736648;
1.24;1.24;0.745996;
1.25;1.25;0.755351;
1.26;1.26;0.764713;
1.27;1.27;0.774083;
1.28;1.28;0.78346;
1.29;1.29;0.792843;
1.3;1.3;0.802234;
1.31;1.31;0.811631;
1.32;1.32;0.821035;
1.33;1.33;0.830445;
1.34;1.34;0.839861;
1.35;1.35;0.849284;
1.36;1.36;0.858713;
1.37;1.37;0.868147;
1.38;1.38;0.877587;
1.39;1.39;0.887033;
1.4;1.4;0.896484;
1.41;1.41;0.905941;
1.42;1.42;0.915403;
1.43;1.43;0.924871;
1.44;1.44;0.934343;
1.45;1.45;0.943821;
1.46;1.46;0.953303;
1.47;1.47;0.962791;
1.48;1.48;0.972283;
1.49;1.49;0.98178;
1.5;1.5;0.991281;
1.51;1.51;1.00079;
1.52;1.52;1.0103;
1.53;1.53;1.01981;
1.54;1.54;1.02933;
1.55;1.55;1.03885;
1.56;1.56;1.04838;
1.57;1.57;1.05791;
1.58;1.58;1.06745;
1.59;1.59;1.07699;
1.6;1.6;1.08653;
1.61;1.61;1.09608;
1.62;1.62;1.10563;
1.63;1.63;1.11518;
1.64;1.64;1.12474;
1.65;1.65;1.1343;
1.66;1.66;1.14387;
1.67;1.67;1.15344;
1.68;1.68;1.16301;
1.69;1.69;1.17259;
1.7;1.7;1.18216;
1.71;1.71;1.19175;
1.72;1.72;1.20133;
1.73;1.73;1.21092;
1.74;1.74;1.22051;
1.75;1.75;1.23011;
1.76;1.76;1.2397;
1.77;1.77;1.2493;
