time;V(/vd);V(/vrsh);
0.10138;1.34089;0.628535;
0.101383;1.34211;0.629631;
0.101386;1.34332;0.630724;
0.101389;1.34454;0.631816;
0.101392;1.34575;0.632904;
0.101395;1.34695;0.633991;
0.101398;1.34816;0.635074;
0.101401;1.34936;0.636156;
0.101404;1.35056;0.637235;
0.101407;1.35175;0.638311;
0.10141;1.35295;0.639385;
0.101413;1.35414;0.640457;
0.101416;1.35532;0.641526;
0.101419;1.35651;0.642593;
0.101422;1.35769;0.643657;
0.101425;1.35887;0.644718;
0.101428;1.36004;0.645778;
0.101431;1.36122;0.646834;
0.101434;1.36239;0.647889;
0.101437;1.36355;0.64894;
0.10144;1.36472;0.649989;
0.101443;1.36588;0.651036;
0.101446;1.36704;0.65208;
0.101449;1.36819;0.653122;
0.101452;1.36935;0.654161;
0.101455;1.3705;0.655198;
0.101458;1.37164;0.656232;
0.101461;1.37279;0.657263;
0.101464;1.37393;0.658292;
0.101467;1.37507;0.659319;
0.10147;1.3762;0.660343;
0.101473;1.37733;0.661364;
0.101476;1.37846;0.662383;
0.101479;1.37959;0.663399;
0.101482;1.38071;0.664413;
0.101485;1.38184;0.665424;
0.101488;1.38295;0.666433;
0.101491;1.38407;0.667439;
0.101494;1.38518;0.668443;
0.101497;1.38629;0.669443;
0.1015;1.3874;0.670442;
0.101503;1.3885;0.671438;
0.101506;1.3896;0.672431;
0.101509;1.3907;0.673421;
0.101512;1.39179;0.674409;
0.101515;1.39288;0.675395;
0.101518;1.39397;0.676378;
0.101521;1.39506;0.677358;
0.101524;1.39614;0.678335;
0.101527;1.39722;0.67931;
0.10153;1.39829;0.680283;
0.101533;1.39937;0.681253;
0.101536;1.40044;0.68222;
0.101539;1.40151;0.683184;
0.101542;1.40257;0.684146;
0.101545;1.40363;0.685105;
0.101548;1.40469;0.686062;
0.101551;1.40575;0.687016;
0.101554;1.4068;0.687967;
0.101557;1.40785;0.688916;
0.10156;1.40889;0.689862;
0.101563;1.40994;0.690806;
0.101566;1.41098;0.691746;
0.101569;1.41202;0.692684;
0.101572;1.41305;0.69362;
0.101575;1.41408;0.694553;
0.101578;1.41511;0.695483;
0.101581;1.41614;0.69641;
0.101584;1.41716;0.697335;
0.101587;1.41818;0.698257;
0.10159;1.41919;0.699176;
0.101593;1.42021;0.700093;
0.101596;1.42122;0.701007;
0.101599;1.42223;0.701918;
0.101602;1.42323;0.702827;
0.101605;1.42423;0.703733;
0.101608;1.42523;0.704636;
0.101611;1.42622;0.705537;
0.101614;1.42722;0.706435;
0.101617;1.42821;0.70733;
0.10162;1.42919;0.708222;
0.101623;1.43017;0.709112;
0.101626;1.43115;0.709999;
0.101629;1.43213;0.710883;
0.101632;1.4331;0.711765;
0.101635;1.43408;0.712643;
0.101638;1.43504;0.713519;
0.101641;1.43601;0.714393;
0.101644;1.43697;0.715263;
0.101647;1.43793;0.716131;
0.10165;1.43888;0.716996;
0.101653;1.43983;0.717859;
0.101656;1.44078;0.718718;
0.101659;1.44173;0.719575;
0.101662;1.44267;0.720429;
0.101665;1.44361;0.72128;
0.101668;1.44455;0.722129;
0.101671;1.44548;0.722975;
0.101674;1.44641;0.723818;
0.101677;1.44734;0.724658;
0.10168;1.44826;0.725495;
0.101683;1.44918;0.72633;
0.101686;1.4501;0.727162;
0.101689;1.45102;0.727991;
0.101692;1.45193;0.728817;
0.101695;1.45284;0.729641;
0.101698;1.45374;0.730461;
0.101701;1.45464;0.731279;
0.101704;1.45554;0.732094;
0.101707;1.45644;0.732907;
0.10171;1.45733;0.733716;
0.101713;1.45822;0.734523;
0.101716;1.45911;0.735327;
0.101719;1.45999;0.736128;
0.101722;1.46087;0.736926;
0.101725;1.46175;0.737722;
0.101728;1.46262;0.738514;
0.101731;1.46349;0.739304;
0.101734;1.46436;0.740091;
0.101737;1.46523;0.740875;
