x1 time x2 v(/vin) x3 v(/vout)
Step Information:
 8.94142230e-03  8.94142230e-03  8.94142230e-03 -1.36344901e+00  8.94142230e-03  5.01496327e+00 
 9.00542230e-03  9.00542230e-03  9.00542230e-03 -1.50401582e+00  9.00542230e-03  5.00867355e+00 
 9.06942230e-03  9.06942230e-03  9.06942230e-03 -1.64370713e+00  9.06942230e-03  5.00239172e+00 
 9.13342230e-03  9.13342230e-03  9.13342230e-03 -1.78244164e+00  9.13342230e-03  4.99611776e+00 
 9.19742230e-03  9.19742230e-03  9.19742230e-03 -1.92013857e+00  9.19742230e-03  4.98985167e+00 
 9.26142230e-03  9.26142230e-03  9.26142230e-03 -2.05671779e+00  9.26142230e-03  4.98359345e+00 
 9.32542230e-03  9.32542230e-03  9.32542230e-03 -2.19209978e+00  9.32542230e-03  4.97734307e+00 
 9.38942230e-03  9.38942230e-03  9.38942230e-03 -2.32620574e+00  9.38942230e-03  4.97110053e+00 
 9.45342230e-03  9.45342230e-03  9.45342230e-03 -2.45895760e+00  9.45342230e-03  4.96486582e+00 
 9.51742230e-03  9.51742230e-03  9.51742230e-03 -2.59027809e+00  9.51742230e-03  4.95863893e+00 
 9.58142230e-03  9.58142230e-03  9.58142230e-03 -2.72009077e+00  9.58142230e-03  4.95241985e+00 
 9.64542230e-03  9.64542230e-03  9.64542230e-03 -2.84832007e+00  9.64542230e-03  4.94620857e+00 
 9.70942230e-03  9.70942230e-03  9.70942230e-03 -2.97489135e+00  9.70942230e-03  4.94000508e+00 
 9.77342230e-03  9.77342230e-03  9.77342230e-03 -3.09973094e+00  9.77342230e-03  4.93380937e+00 
 9.83742230e-03  9.83742230e-03  9.83742230e-03 -3.22276615e+00  9.83742230e-03  4.92762144e+00 
 9.90142230e-03  9.90142230e-03  9.90142230e-03 -3.34392538e+00  9.90142230e-03  4.92144126e+00 
 9.96542230e-03  9.96542230e-03  9.96542230e-03 -3.46313809e+00  9.96542230e-03  4.91526883e+00 
 1.00294223e-02  1.00294223e-02  1.00294223e-02 -3.58033489e+00  1.00294223e-02  4.90910415e+00 
 1.00934223e-02  1.00934223e-02  1.00934223e-02 -3.69544757e+00  1.00934223e-02  4.90294720e+00 
 1.01574223e-02  1.01574223e-02  1.01574223e-02 -3.80840910e+00  1.01574223e-02  4.89679797e+00 
 1.02214223e-02  1.02214223e-02  1.02214223e-02 -3.91915375e+00  1.02214223e-02  4.89065645e+00 
 1.02854223e-02  1.02854223e-02  1.02854223e-02 -4.02761703e+00  1.02854223e-02  4.88452264e+00 
 1.03494223e-02  1.03494223e-02  1.03494223e-02 -4.13373582e+00  1.03494223e-02  4.87839652e+00 
 1.04134223e-02  1.04134223e-02  1.04134223e-02 -4.23744835e+00  1.04134223e-02  4.87227808e+00 
 1.04774223e-02  1.04774223e-02  1.04774223e-02 -4.33869423e+00  1.04774223e-02  4.86616732e+00 
 1.05414223e-02  1.05414223e-02  1.05414223e-02 -4.43741454e+00  1.05414223e-02  4.86006422e+00 
 1.06054223e-02  1.06054223e-02  1.06054223e-02 -4.53355181e+00  1.06054223e-02  4.85396878e+00 
 1.06694223e-02  1.06694223e-02  1.06694223e-02 -4.62705008e+00  1.06694223e-02  4.84788098e+00 
 1.07334223e-02  1.07334223e-02  1.07334223e-02 -4.71785492e+00  1.07334223e-02  4.84180082e+00 
 1.07974223e-02  1.07974223e-02  1.07974223e-02 -4.80591348e+00  1.07974223e-02  4.83572828e+00 
 1.08614223e-02  1.08614223e-02  1.08614223e-02 -4.89117449e+00  1.08614223e-02  4.82966336e+00 
 1.09254223e-02  1.09254223e-02  1.09254223e-02 -4.97358832e+00  1.09254223e-02  4.82360604e+00 
 1.09894223e-02  1.09894223e-02  1.09894223e-02 -5.05310701e+00  1.09894223e-02  4.81755633e+00 
